name,country,currentFormPointsAfter2022_2023,currentFormPointsAfter2023_2024,currentFormPointsAfter2024_2025,currentFormPointsAfter2025_2026,currentFormPointsAfter2026_2027
Paul Deaville,England,1500.0,1500.0,1292.5736919374988,1383.160209113009,1383.160209113009
Ma Shaojun,China,1500.0,1500.0,1459.181266299361,1459.181266299361,1459.181266299361
Thor Chuan Leong,Malaysia,1500.0,1511.451971443388,1509.8930743067167,1509.8930743067167,1509.8930743067167
Qiu Lei,China,1500.0,1500.0,1459.1609995529914,1464.1817146849805,1464.1817146849805
Liu Wenwei,China,1500.0,1500.0,1500.0,1322.7205838670582,1166.0935567173424
David Gilbert,"England",1824.2946714973555,2318.9681398041394,1925.0752462951273,1928.0912948721498,2236.1034378206173
Brian Ochoiski,France,1500.0,1500.0,1500.0,1500.0,1466.3943043811212
Mark Allen,"Northern Ireland",2329.3201880668685,2254.0249526896437,2061.6014832390356,2516.924576583784,2516.924576583784
Jack O'Brien,Ireland,1500.0,1500.0,1500.0,1491.0392845584233,1491.0392845584233
Hossein Vafaei,"Iran",1799.4122514305081,2042.977327781718,2279.588587013566,2249.3866349420173,2059.7916321401076
Yisong Peng,"China",991.6212294071269,1509.4122335022105,1509.4122335022105,1509.4122335022105,1509.4122335022105
Zhang Hao,China,1500.0,1500.0,1500.0,1457.1975862301279,1457.1975862301279
Andy Lee,"England",1170.740547021723,1248.308581654164,1248.308581654164,1248.308581654164,1248.308581654164
Kyren Wilson,"England",2103.6061286322997,2526.3895778744136,2478.153458611628,2211.1157929334295,2409.4156637863744
Kreishh Gurbaxani,India,1500.0,1500.0,1254.8404951707896,1247.9748625137238,1247.9748625137238
Chen Ruifu,China,1500.0,1500.0,1500.0,1500.0,1590.0602751773713
Luke Pinches,England,1500.0,1500.0,1500.0,1500.0,1515.4049342570809
Haydon Pinhey,England,1412.0291315371728,1273.4358660675414,1266.3530380178233,1395.1894846464606,1421.9913675218083
Alex Taubman,Wales,1500.0,1409.706935556109,1409.706935556109,1409.706935556109,1409.706935556109
Hamza Ilyas,Pakistan,1500.0,1278.860667755512,1278.860667755512,1278.860667755512,1278.860667755512
Simon Blackwell,England,1500.0,1500.0,1305.893954254532,1371.511342434319,1326.99316849109
Anthony McGill,"Scotland",2133.80295445383,1660.3454283515282,1640.0570401045638,1945.7736746727883,1898.096011262441
Jamie Jones,"Wales",1689.5621707125572,1990.2851822196071,1688.1708926828717,1659.8139235391939,1541.6987426387277
Zhou Yuelong,"China",1787.0858408992028,1719.9211747991849,1995.9768844897965,1858.0403027046402,2186.905697833609
Omar Alajlani,Saudi Arabia,1500.0,1478.4179078604038,1392.0223393364433,1392.3341380262539,1392.3341380262539
Yao Pengcheng,China,1500.0,1500.0,1500.0,1382.3588248208039,1586.2421941500975
Huang Jiahao,China,1500.0,1500.0,1404.0669939620332,1240.9575532111762,1286.82890990426
Connor Benzey,England,1500.0,1500.0,1550.9817482197006,1209.851559103492,1139.8321102348375
Haris Tahir,Pakistan,1500.0,1500.0,1185.3786711077958,1188.8507882633264,1188.8507882633264
Abdullah Alotayyani,Saudi Arabia,1500.0,1500.0,1406.158090257121,1444.0990293305942,1444.0990293305942
Umut Dikme,Germany,1500.0,1314.2319348212397,1394.5500763742791,1841.1805444294405,1841.1805444294405
Zhang Yang,China,1500.0,1500.0,1500.0,1500.0,1339.1672222681962
Ali Al Obaidly,Qatar,1500.0,1479.3474705461217,1385.0200928627842,1385.0200928627842,1385.0200928627842
Yulu Bai,China,1500.0,1250.833870745974,1327.2406552431833,1409.6892802407926,1277.3524261799503
Andrew Pagett,"Wales",1425.3158570400242,1230.4362444989604,1230.700006621536,1301.9786705497015,1301.9786705497015
