name,country,currentFormPointsAfter2022_2023,currentFormPointsAfter2023_2024,currentFormPointsAfter2024_2025,currentFormPointsAfter2025_2026,currentFormPointsAfter2026_2027
Chen Qien,China,0.0,0.0,0.0,0.0,1560.0033177549406
Paul Deaville,England,0.0,0.0,1287.3220738973596,1264.4634223760925,1264.4634223760925
Ma Shaojun,China,0.0,0.0,1462.1343100286406,1462.1343100286406,1462.1343100286406
Thor Chuan Leong,Malaysia,0.0,1460.3344947505618,1577.2793884309,1577.2793884309,1577.2793884309
Qiu Lei,China,0.0,0.0,1461.295467402216,1421.2441608629158,1421.2441608629158
Liu Wenwei,China,0.0,0.0,0.0,1388.0584834273345,1236.6195108656655
David Gilbert,"England",1794.412081951812,2219.9261822784492,1837.1928318157738,1895.8387921728302,2280.4017660692016
Brian Ochoiski,France,0.0,0.0,0.0,0.0,1482.1995417879511
Mark Allen,"Northern Ireland",2184.7467472556446,2001.3810362413724,1955.1536678687175,2363.3066461638155,2363.3066461638155
Jack O'Brien,Ireland,0.0,0.0,0.0,1490.568110156426,1490.568110156426
Hossein Vafaei,"Iran",1828.9318255893459,1986.886420472001,2118.6792403548657,2192.682195590066,2016.99243158481
Yisong Peng,"China",1024.7987573924993,1477.64895229226,1477.64895229226,1477.64895229226,1477.64895229226
Zhang Hao,China,0.0,0.0,0.0,1467.5856314635485,1467.5856314635485
Andy Lee,"England",1157.0580161130229,1136.1740227155678,1136.1740227155678,1136.1740227155678,1136.1740227155678
Kyren Wilson,"England",2152.880651012832,2362.225585482622,2185.5662123252123,2175.9375760327125,2232.9506393076877
Kreishh Gurbaxani,India,0.0,0.0,1201.9791875253238,1119.3179991456282,1119.3179991456282
Chen Ruifu,China,0.0,0.0,0.0,0.0,1625.1423509102533
Luke Pinches,England,0.0,0.0,0.0,0.0,1527.426021210716
Haydon Pinhey,England,1393.6845572440998,1306.5571277860245,1366.5692312180038,1441.799425083836,1418.5357848415606
Alex Taubman,Wales,0.0,1341.9931617689847,1341.9931617689847,1341.9931617689847,1341.9931617689847
Hamza Ilyas,Pakistan,0.0,1345.2631068620876,1345.2631068620876,1345.2631068620876,1345.2631068620876
Simon Blackwell,England,0.0,0.0,1229.4331277124977,1254.7447566891915,1249.480568654865
Anthony McGill,"Scotland",1956.4571965545513,1628.5773526411392,1686.1642529737435,1861.8641918463425,1935.972013506907
Jamie Jones,"Wales",1601.752916530574,1864.8571926227485,1658.2283182418641,1659.2366878568976,1634.2187655245068
Zhou Yuelong,"China",1650.6328079793036,1827.6934971212727,2028.8252235528855,1894.187864934019,2277.733375638287
Omar Alajlani,Saudi Arabia,0.0,1474.608270647986,1404.8667312558023,1336.3839290845135,1336.3839290845135
Yao Pengcheng,China,0.0,0.0,0.0,1460.7271725877247,1694.6282262492048
Huang Jiahao,China,0.0,0.0,1278.348174373348,1241.7553917271296,1318.871706850104
Connor Benzey,England,0.0,0.0,1526.2016074003964,1259.6100138513088,1154.8933987561848
Haris Tahir,Pakistan,0.0,0.0,1222.6824445109899,1133.1817619203375,1133.1817619203375
Abdullah Alotayyani,Saudi Arabia,0.0,0.0,1439.081206566901,1374.1596929884447,1374.1596929884447
Umut Dikme,Germany,0.0,1368.171488435486,1344.6714140566937,1731.7660793949683,1731.7660793949683
Zhang Yang,China,0.0,0.0,0.0,0.0,1362.8213429405457
Ali Al Obaidly,Qatar,0.0,1472.888398203392,1410.529095946551,1410.529095946551,1410.529095946551
Yulu Bai,China,0.0,1250.7497713865407,1146.814560332599,1359.8273304480774,1279.6931449132078
Andrew Pagett,"Wales",1374.688957256877,1183.9952143719577,1127.650383766689,1155.7972230371008,1155.7972230371008
Jake Crofts,England,1437.8592359595827,1437.8592359595827,1437.8592359595827,1437.8592359595827,1437.8592359595827
Paul Norris,England,0.0,0.0,0.0,0.0,1244.1026013775904
Callum Beresford,England,1374.23522457137,1374.23522457137,1374.23522457137,1374.23522457137,1374.23522457137
Fergal Quinn (II),Northern Ireland,0.0,1448.9488849974387,1263.0226625633677,1128.6605335546253,1085.3021805809517
Cody Turner,New Zealand,0.0,0.0,0.0,1404.9826223976154,1404.9826223976154
Noppon Saengkham,"Thailand",1783.6413047803517,1798.090424075241,1718.7427871817265,1896.1285999388256,2298.5901304574695
Filips Kalniņš,Latvia,1272.3405135937796,1244.181589456382,1244.181589456382,1244.181589456382,1244.181589456382
Ahmed Aly Elsayed,United States,0.0,928.2835097250412,877.8178894501372,877.8178894501372,877.8178894501372
Musaad Almisfir,Saudi Arabia,0.0,0.0,0.0,1397.2926192137033,1397.2926192137033
Xiao Guodong,"China",1712.4871587478356,1883.6287822161291,2206.191547800041,1992.7035988653047,2112.4209312162875
Joe O'Connor,"England",1806.2221463141814,2010.7658619717963,2290.20204518259,1819.2027055694507,1794.4956417026817
Chang Bingyu,"China",1443.047846780931,1443.047846780931,1443.047846780931,2047.9679411573447,2518.030106866066
